topic	definition
V-AMP-APM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-AMP-ASN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-AMP-DPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-AMP-GPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-AMP-GSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-AMP-NPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-AMP-NSF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-AMP-NSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-AMP-NSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-AMS-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-AMS-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-AMS-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-AMS-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-AMS-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-AMS-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-ANI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-ANI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-ANP-NSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-ANP-NSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-AOI-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-AOI-1P-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p><p>ATTic form</p>
V-AOI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-AOI-1S-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p><p>ATTic form</p>
V-AOI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-AOI-2P-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p><p>ATTic form</p>
V-AOI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-AOI-3P-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p><p>ATTic form</p>
V-AOI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-AOI-3S-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p><p>ATTic form</p>
V-AOM-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-AOM-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-AOM-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-AON	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> iNfinitive</p>
V-AOO-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Optative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-AOP-APM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-AOP-ASM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-AOP-DSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-AOP-GPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-AOP-GPN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-AOP-GSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-AOP-NPF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
V-AOP-NPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-AOP-NSF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-AOP-NSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-AOP-NSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-AOS-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-AOS-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-AOS-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-AOS-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-AOS-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-AOS-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-API	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p>
V-API-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-API-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-API-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-API-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-API-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-API-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-API-3S-M	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p><p>Middle significance</p>
V-APM-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-APM-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-APM-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-APM-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-APN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> iNfinitive</p>
V-APN-M	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> iNfinitive</p><p><b>Gender:</b> Masculine</p>
V-APO-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Optative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-APP-APM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-APP-APN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-APP-ASF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-APP-ASM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-APP-ASN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-APP-DPN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-APP-DSF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-APP-DSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-APP-GPF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
V-APP-GPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-APP-GPN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-APP-GSF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-APP-GSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-APP-GSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-APP-NPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-APP-NPN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-APP-NSF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-APP-NSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-APP-NSM-M	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p><p>Middle significance</p>
V-APP-NSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-APS-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-APS-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-APS-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-APS-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-APS-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-APS-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-FAI-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-FAI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-FAI-1S-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p><p>ATTic form</p>
V-FAI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-FAI-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-FAI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-FAI-3P-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p><p>ATTic form</p>
V-FAI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-FAI-3S-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p><p>ATTic form</p>
V-FAN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> iNfinitive</p>
V-FAP-APN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
